subject,structure_condition,match_condition,patterns,strategy,comments
p476979,model,match,"The stars seemed to be more associated with the people than their expressions. For a given person, it did seem like some expressions provided more stars than others.",I mostly just chose the person who most consistently provided a lot of stars.,"""}"
p276997,emotion,mismatch,At first I thought it was the shocked face,I just tried to follow the high numbers,"No but thank you""}"
p438661,model,match,No.,"Pick each person a few times and identify the person that gave the most stars on average, then always pick that person after.","""}"
p565497,emotion,match,"First part I think I should look for \""sad\"" expression and second part for \""anger\""","First part I think I should look for \""sad\"" expression and second part for \""anger\""","ty""}"
p512429,emotion,match,,,"""}"
p439909,model,match,It seemed that the Hispanic male always had the higher amount of stars.,"Yes, I tried other choices and the Hispanic male seemed to always be the better choice for higher amount of stars.","N/A.\n""}"
p298720,model,match,same person in each round seemed to have most stars,"found the one with most stars, stuck with them","""}"
p442350,emotion,mismatch,No,I tried to choose the same people that gave me the most stars.,"N/A""}"
p689713,model,match,"Not really patterns specifically, more so just certain people who were paying more.","I found the people who had the highest baseline low scores and stuck with them throughout, and I think this was effective but cannot be sure.","I found this enjoyable, thank you!""}"
p796589,emotion,match,"In the first section, people with the most startled faces were worth the most. In the second, people who were the happiest were worth the most",Same as the pattern above,"""}"
p560335,emotion,mismatch,First was the frightened people.  Second was the same girl.,Stumbled upon best early in first game so stuck with it.  Took me forever in second game to realize always same girl,"""}"
p252818,emotion,mismatch,the eyes and mouths seemed to point to more points open vs closed at different times.,eyes and mouth open vs closed seemed to predict points somewhat.,"it was kinda fun!""}"
p884256,model,match,seemed like it was the same person that got most stars,no,"""}"
p355149,emotion,match,It seemed like smiles gave you the most stars,smiles gave the most stars,"""}"
p823268,emotion,mismatch,"The pattern originally seemed like the happier a person was, the more stars it would give. The second pattern seemed like one woman in particular gave more stars than others.",I followed the patterns I noticed above.,"No.""}"
p461294,model,mismatch,some.  pick happy faces.,stick to corners and happy faces,"no""}"
p777668,model,mismatch,no,no,"nice study""}"
p530881,model,match,,,"""}"
p2219,model,mismatch,"There was usually on person when selected, provided many stars.","select the person I've found that gave the most stars again, and again.","Good task. Thanks!""}"
p160087,emotion,match,No patterns,Tried finding pattern but could never ,"Fun study, thanks""}"
p342266,model,mismatch,"at first, the white male seemed to have the most points. After that, the neutral expression on the women's faces","What i wrote above, after trial and error, the white man and then the neutral face on the women seemed to return the most stars.","""}"
p533640,model,match,No I didn't notice any ,I clicked each person first and whoever had the most stars I kept clicking their picture.,"none""}"
p47485,model,match,Surprised faces I thought might pay more.,Both random and trying different face looks.,"All images loaded.""}"
p316922,model,mismatch,n/a,n/a,"n/a""}"
p666877,emotion,mismatch,No,,"It was good to complete this study.""}"
p192278,model,match,Seemed like one individual was consistently better than the others,"tried to find the best, consistent, individual","no""}"
p888260,model,mismatch,No,no,"no""}"
p902712,emotion,mismatch,no,"the firsst trials i picked the people that weere smiling, the second i picked the black guy most of the time","""}"
p752831,emotion,match,"yes, the images with the same emotions have similar rewards.",I tried out all emotions and saw which one rewarded the most.,"I have no additional comments.""}"
p184505,model,mismatch,I did not notice any patterns,"I did not use any strategy, just tried to remember which faces earned the most stars","Thank you for the opportunity to participate in this study""}"
p461825,emotion,match,"Yes, it seemed like at the beginning, clicking on faces that looked more angry gave more stars. Then the set of faces switched later in the experiment and it seemed this pattern became more random or non-existent.","Yes, I tried to click on angry faces at the beginning and toward the end I kind of just tried to click faces that looked similar to faces that previously gave a lot of stars.","All was good, thank you!""}"
p569079,model,mismatch,Happy faces,happy faces,"no""}"
p816686,model,match,The umm.. the white guys seemed to have more stars.,I picked the white guys.,"\""Hello class! Welcome to Princeton! I hope you brought your funny faces ... we're doing SCIENCE today!!!\""""}"
p466195,model,match,I notices it was either who showed the most teeth or who smiled the best.,I picked the one who smiled the most,"no""}"
p223454,emotion,mismatch,In the first part I thought it was the expression of the person that gave me the most stars but in the second part I thought it was the race or sex of the person,"I tried to determine if it was based on expression, race or sex of the person shown","""}"
p150745,emotion,mismatch,none,nothing,"no""}"
p347008,emotion,match,"The first part of the game the faces that looked the most aggressive gave the most stars. In the second part of the game, the faces that looked the happiest, gave the most stars.","In the first part of the game, I looked for the face with that looked mad and the second part, I looked for the face that looked happy.","""}"
p36357,emotion,match,"Yes, I noticed that the mood impacted the results I would receive. For instance, the first set of faces I picked the most angry looking face and in the 2nd set I noticed the happiest looking faces were most desirable for me.","Yes, I picked the Angriest set of faces in the first set and then the happiest in the 2nd set. I started by guessing for two rounds and then deciding which one gave me the best results and stuck with that plan through that set of faces.","""}"
p310416,model,match,"I thought the female was best in round 1, had to scramble when all faces became female.",Stuck with face that gave 6-10 consistently.,"""}"
p493868,model,mismatch,In the second one startled people paid more,Not really,"No""}"
p945386,model,mismatch,Facial expressions seemed to change with the star amount ,,"""}"
p531096,model,mismatch,yes. face reactions.,yes. face reaction and smile.,"all are good""}"
p202920,emotion,mismatch,Yes,Yes,"Nice""}"
p423806,model,mismatch,Not sure.,Not really.  Just tested some different faces and tried to remember the combinations that gave the most points.,"""}"
p282703,model,mismatch,I didn't notice any patterns,I didn't use any strategy.,"None""}"
p726555,model,mismatch,Nothing definite,"At first, I tried \""happy vs not\"" or \""white vs black\"" or \""same guy every time\"" but I have no idea what really worked in the end.","""}"
p898823,emotion,mismatch,no,no,"""}"
p866277,emotion,match,"It seemed that certain facial expressions consistently gave more stars. Such as the \""surprised\"" face. It didn't matter if it was different people, but any surprised facial expression seemed to give more stars.","I picked until I got a face that gave over 5 stars, then I kept choosing that facial expression.","""}"
p89799,emotion,match,I noticed the stars corresponded to the expression,"At first I clicked happy faces, then surprised/fearful faces","""}"
p980243,model,mismatch,No,I just tried to see which person would provide more stars. ,"n/a""}"
p626789,emotion,match,"At first, itt seemed like those that frowned or made some funny face had some of the highest number of stars.","Yes, I tried clicking on the one where the person frowned, but it did not always have the highest number if stars.","none""}"
p332530,model,match,I noticed that certain people scored higher stars,"When I found a person whose picture scored higher, I continued selecting that person pics","""}"
p85146,emotion,match,I tried to pick the most neutral expressions.,I tried to pick the most neutral expressions.,"no""}"
p995631,emotion,match,no,faces that weren't making crazy faces,"""}"
p9826,emotion,match,none,Tried to remember what gave the highest scores,"""}"
p701506,model,match,specific faces had similar general outcome,chose the specific faces with the highest probability and quantity of win,"""}"
p722338,model,match,None in particularly,chose the pictures that awarded the most stars...,"""}"
p39056,emotion,mismatch,I thought generally positive expressions were worth more but there were exceptions,I just tried to sample the different expressions to get an idea of their value.,"""}"
p764002,model,match,Yeah. The reaction of the people how they react that.,Same picture will select to give more starts.,"""}"
