subject,Race,Race_10_TEXT,Ethnicity,Ethnicity_3_TEXT,Education,Age,SexatBirth,SexatBirth_4_TEXT,CurrentGender,CurrentGender_8_TEXT,Handedness,Handedness_4_TEXT,Disability,Disability_5_TEXT
p719520,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,55,Female,NA,Woman,NA,Right-handed,NA,No,NA
p788854,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,52,Male,NA,Man,NA,Right-handed,NA,No,NA
p711811,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,23,Male,NA,Man,NA,Right-handed,NA,No,NA
p99523,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,50,Male,NA,Man,NA,Right-handed,NA,"Yes, other",chronic migraines
p674801,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,67,Male,NA,Man,NA,Right-handed,NA,No,NA
p629366,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,59,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p757447,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p794805,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,30,Female,NA,Woman,NA,Right-handed,NA,"Yes, hearing",NA
p694302,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,35,Male,NA,Man,NA,Right-handed,NA,No,NA
p146281,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,35,Male,NA,Man,NA,Right-handed,NA,No,NA
p710315,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,GED,58,Male,NA,Man,NA,Right-handed,NA,No,NA
p927599,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,39,Female,NA,Woman,NA,Right-handed,NA,No,NA
p923349,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,36,Female,NA,Woman,NA,Right-handed,NA,No,NA
p922295,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,49,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p890627,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,31,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p814129,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,37,Female,NA,Woman,NA,Right-handed,NA,No,NA
p39049,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,32,Male,NA,Man,NA,Right-handed,NA,No,NA
p337018,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,29,Male,NA,Man,NA,Right-handed,NA,No,NA
p491876,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,25,Female,NA,Woman,NA,Right-handed,NA,No,NA
p80897,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p344585,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,31,Female,NA,Woman,NA,Right-handed,NA,No,NA
p617277,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,60,Female,NA,Woman,NA,Right-handed,NA,No,NA
p489468,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,37,Male,NA,Man,NA,Right-handed,NA,No,NA
p235841,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,42,Male,NA,Man,NA,Right-handed,NA,No,NA
p631540,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,33,Male,NA,Man,NA,Right-handed,NA,No,NA
p940233,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,47,Male,NA,Man,NA,Right-handed,NA,No,NA
p41327,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,52,Prefer not to say/Don't know,NA,Prefer not to say/Don't know,NA,Right-handed,NA,No,NA
p772045,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,29,Female,NA,Woman,NA,Right-handed,NA,No,NA
p882643,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,33,Male,NA,Man,NA,Right-handed,NA,No,NA
p385015,Native Hawaiian or Other Pacific Islander,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,40,Male,NA,Man,NA,Right-handed,NA,No,NA
p108404,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,32,Male,NA,Man,NA,Right-handed,NA,No,NA
p774977,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,38,Male,NA,Man,NA,Right-handed,NA,No,NA
p58578,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,30,Male,NA,Man,NA,Right-handed,NA,No,NA
p477800,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,45,Male,NA,Man,NA,Right-handed,NA,No,NA
p634824,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,37,Male,NA,Man,NA,Right-handed,NA,No,NA
p320868,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p485664,"White or Caucasian,East or Southeast Asian,Native Hawaiian or Other Pacific Islander,Biracial or multiracial",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,39,Male,NA,Man,NA,Right-handed,NA,No,NA
p443699,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,34,Male,NA,Man,NA,Left-handed,NA,"Yes, other",mental
p561614,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,46,Male,NA,Man,NA,Right-handed,NA,No,NA
p527558,"Biracial or multiracial,Other:",Mestiza,"Hispanic, Latino, or Spanish Origin",NA,Associate's degree,46,Female,NA,Woman,NA,Right-handed,NA,No,NA
p301855,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,39,Male,NA,Man,NA,Left-handed,NA,No,NA
p153487,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,48,Female,NA,Woman,NA,Right-handed,NA,No,NA
p300267,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,34,Male,NA,Man,NA,Left-handed,NA,No,NA
p920593,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,27,Male,NA,Man,NA,Right-handed,NA,No,NA
p937589,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,45,Male,NA,Man,NA,Right-handed,NA,No,NA
p18815,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,40,Male,NA,Man,NA,Left-handed,NA,No,NA
p154901,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,29,Female,NA,"Woman,Cisgender",NA,Right-handed,NA,No,NA
p365920,Other:,Hispanic,"Hispanic, Latino, or Spanish Origin",NA,High school,31,Male,NA,Man,NA,Right-handed,NA,No,NA
p256895,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,29,Male,NA,Man,NA,Ambidextrous,NA,No,NA
p177686,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,38,Male,NA,Man,NA,Right-handed,NA,No,NA
p597403,"American Indian, Native American, or Alaska Native",NA,"Hispanic, Latino, or Spanish Origin",NA,High school,45,Male,NA,Man,NA,Right-handed,NA,No,NA
p37188,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,33,Female,NA,Woman,NA,Right-handed,NA,No,NA
p732315,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,38,Female,NA,Woman,NA,Right-handed,NA,No,NA
p576117,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,46,Female,NA,Woman,NA,Right-handed,NA,No,NA
p81528,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,48,Female,NA,Woman,NA,Left-handed,NA,"Yes, mobility/orthopedic impairment",NA
p764632,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,49,Female,NA,Woman,NA,Right-handed,NA,No,NA
p676595,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,59,Male,NA,Man,NA,Right-handed,NA,No,NA
p363974,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,31,Female,NA,Woman,NA,Right-handed,NA,No,NA
p271691,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,28,Male,NA,Man,NA,Right-handed,NA,No,NA
p766810,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,39,Female,NA,Woman,NA,Right-handed,NA,No,NA
p875927,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,40,Male,NA,Man,NA,Right-handed,NA,No,NA
p875927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
p726536,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,29,Female,NA,Woman,NA,Right-handed,NA,No,NA
p883169,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,49,Female,NA,Woman,NA,Right-handed,NA,No,NA
p277097,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,45,Male,NA,Man,NA,Right-handed,NA,"Yes, mobility/orthopedic impairment",NA
p385755,"White or Caucasian,American Indian, Native American, or Alaska Native",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,57,Female,NA,Woman,NA,Right-handed,NA,No,NA
p756980,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,35,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p350033,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,38,Male,NA,Man,NA,Right-handed,NA,No,NA
p727762,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,35,Male,NA,Man,NA,Right-handed,NA,No,NA
p844204,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,Less than high school,31,Female,NA,Woman,NA,Right-handed,NA,No,NA
p756225,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,47,Female,NA,Woman,NA,Left-handed,NA,No,NA
p723623,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,59,Male,NA,Man,NA,Right-handed,NA,No,NA
p777683,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,High school,26,Female,NA,Woman,NA,Right-handed,NA,No,NA
p611592,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,22,Female,NA,Woman,NA,Right-handed,NA,No,NA
p560407,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,39,Female,NA,Woman,NA,Right-handed,NA,No,NA
p384523,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,58,Male,NA,Man,NA,Right-handed,NA,No,NA
p965179,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,41,Female,NA,Woman,NA,Right-handed,NA,No,NA
p792401,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Trade school,62,Female,NA,Woman,NA,Right-handed,NA,No,NA
p206198,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,50,Female,NA,Woman,NA,Right-handed,NA,No,NA
p178762,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,37,Male,NA,Man,NA,Right-handed,NA,No,NA
p912206,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p219773,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,60,Male,NA,Man,NA,Right-handed,NA,No,NA
p821515,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p142761,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,43,Female,NA,Woman,NA,Right-handed,NA,No,NA
p344708,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,31,Female,NA,Woman,NA,Right-handed,NA,No,NA
p414210,Other:,Hispanic,"Hispanic, Latino, or Spanish Origin",NA,High school,31,Male,NA,Man,NA,Right-handed,NA,No,NA
p662117,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,30,Male,NA,Man,NA,Right-handed,NA,No,NA
p173120,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,31,Male,NA,Man,NA,Right-handed,NA,No,NA
p837249,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,33,Male,NA,Man,NA,Right-handed,NA,No,NA
p327895,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,54,Female,NA,Woman,NA,Right-handed,NA,"Yes, mobility/orthopedic impairment",NA
p646068,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,30,Male,NA,Man,NA,Right-handed,NA,No,NA
p356461,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,44,Female,NA,Woman,NA,Right-handed,NA,No,NA
p977678,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,29,Female,NA,Woman,NA,Right-handed,NA,No,NA
p37416,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,42,Female,NA,Woman,NA,Right-handed,NA,No,NA
p37416,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,42,Female,NA,Woman,NA,Right-handed,NA,No,NA
p55564,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,46,Male,NA,Man,NA,Right-handed,NA,No,NA
p995318,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,38,Female,NA,Woman,NA,Right-handed,NA,No,NA
p891495,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,31,Male,NA,Man,NA,Right-handed,NA,No,NA
p620298,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,41,Female,NA,Woman,NA,Right-handed,NA,No,NA
p710904,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,27,Male,NA,Man,NA,Left-handed,NA,No,NA
p890404,"White or Caucasian,Black or African American,Biracial or multiracial",NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,32,Female,NA,"Woman,Cisgender",NA,Right-handed,NA,"Yes, mobility/orthopedic impairment",NA
p441583,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,54,Female,NA,Woman,NA,Right-handed,NA,No,NA
p718122,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,34,Female,NA,"Woman,Cisgender",NA,Right-handed,NA,No,NA
p703235,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,44,Female,NA,Woman,NA,Right-handed,NA,No,NA
p845441,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,38,Female,NA,Woman,NA,Right-handed,NA,No,NA
p928170,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p419741,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,32,Male,NA,Man,NA,Left-handed,NA,No,NA
p455088,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,25,Male,NA,Man,NA,Right-handed,NA,No,NA
p469147,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,31,Male,NA,Man,NA,Left-handed,NA,No,NA
p254284,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,29,Male,NA,Man,NA,Left-handed,NA,No,NA
p211678,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,47,Female,NA,Woman,NA,Right-handed,NA,No,NA
p636571,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,34,Female,NA,Woman,NA,Right-handed,NA,No,NA
p90513,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,72,Male,NA,Man,NA,Right-handed,NA,No,NA
p855798,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,33,Male,NA,Man,NA,Left-handed,NA,No,NA
p354137,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,43,Female,NA,Woman,NA,Left-handed,NA,No,NA
p972140,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,37,Male,NA,Man,NA,Right-handed,NA,No,NA
p462320,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,40,Female,NA,Woman,NA,Right-handed,NA,No,NA
p378470,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,40,Male,NA,Man,NA,Right-handed,NA,No,NA
p50685,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,34,Female,NA,Woman,NA,Left-handed,NA,No,NA
p666121,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,33,Female,NA,Woman,NA,Right-handed,NA,No,NA
p94034,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,32,Male,NA,Man,NA,Right-handed,NA,No,NA
p118232,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,35,Male,NA,Man,NA,Right-handed,NA,No,NA
p861426,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,39,Male,NA,Man,NA,Right-handed,NA,No,NA
p613367,Black or African American,NA,"Hispanic, Latino, or Spanish Origin",NA,Graduate degree,33,Male,NA,Man,NA,Right-handed,NA,No,NA
p873952,White or Caucasian,NA,"Hispanic, Latino, or Spanish Origin",NA,GED,37,Male,NA,Man,NA,Right-handed,NA,No,NA
p306377,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,33,Male,NA,Man,NA,Left-handed,NA,No,NA
p915389,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,30,Female,NA,Woman,NA,Right-handed,NA,No,NA
p8080,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,53,Male,NA,Man,NA,Right-handed,NA,No,NA
p657486,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,28,Male,NA,Man,NA,Left-handed,NA,No,NA
p832780,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,50,Female,NA,Woman,NA,Left-handed,NA,No,NA
p209228,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,33,Female,NA,Woman,NA,Right-handed,NA,No,NA
p882212,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,50,Male,NA,Man,NA,Left-handed,NA,No,NA
p16792,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,49,Female,NA,Woman,NA,Right-handed,NA,No,NA
p913589,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,40,Female,NA,Woman,NA,Right-handed,NA,No,NA
p454801,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,37,Male,NA,Man,NA,Right-handed,NA,No,NA
p760620,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,28,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p396103,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,54,Male,NA,Man,NA,Right-handed,NA,No,NA
p446421,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,33,Female,NA,Woman,NA,Right-handed,NA,No,NA
p351910,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,34,Female,NA,Woman,NA,Right-handed,NA,No,NA
p589410,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,37,Male,NA,Man,NA,Right-handed,NA,No,NA
p266656,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,43,Female,NA,Woman,NA,Right-handed,NA,No,NA
p929989,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,43,Male,NA,Man,NA,Right-handed,NA,No,NA
p392258,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,60,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p901175,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,40,Male,NA,Man,NA,Right-handed,NA,No,NA
p256751,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,44,Female,NA,Woman,NA,Right-handed,NA,No,NA
p442197,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,28,Male,NA,Man,NA,Right-handed,NA,No,NA
p860237,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,GED,40,Male,NA,Man,NA,Right-handed,NA,No,NA
p481894,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p398983,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,27,Male,NA,Man,NA,Left-handed,NA,No,NA
p834854,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,25,Male,NA,Non-binary/genderqueer,NA,Right-handed,NA,No,NA
p82570,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,57,Male,NA,Man,NA,Right-handed,NA,No,NA
p484968,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,22,Female,NA,Woman,NA,Right-handed,NA,No,NA
p32597,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,29,Male,NA,Man,NA,Right-handed,NA,No,NA
p814310,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,35,Male,NA,Man,NA,Right-handed,NA,No,NA
p716488,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,56,Male,NA,Man,NA,Right-handed,NA,No,NA
p750133,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,41,Male,NA,Man,NA,Right-handed,NA,No,NA
p891554,East or Southeast Asian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,36,Male,NA,Man,NA,Right-handed,NA,No,NA
p796116,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Graduate degree,32,Female,NA,Woman,NA,Left-handed,NA,No,NA
p486718,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Associate's degree,56,Male,NA,"Man,Cisgender",NA,Right-handed,NA,No,NA
p427782,Black or African American,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,31,Female,NA,Woman,NA,Right-handed,NA,No,NA
p516325,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Bachelor's degree,40,Female,NA,Woman,NA,Right-handed,NA,No,NA
p630553,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,High school,43,Male,NA,Man,NA,Right-handed,NA,No,NA
p44042,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,41,Male,NA,Man,NA,Right-handed,NA,No,NA
p741163,White or Caucasian,NA,"Not Hispanic, Latino, or Spanish Origin",NA,Some college,43,Female,NA,Woman,NA,Right-handed,NA,No,NA
